FUV,     %
0,0
  134.00,  0.0000 
  134.10,  1.1540 
  134.20,  2.3080 
  134.30,  3.4620 
  134.40,  4.6160 
  134.50,  5.7700 
  134.60,  6.9240 
  134.70,  8.0780 
  134.80,  9.2320 
  134.90, 10.3860 
  135.00, 11.5400 
  135.10, 11.8456 
  135.20, 12.1512 
  135.30, 12.4568 
  135.40, 12.7624 
  135.50, 13.0680 
  135.60, 13.3736 
  135.70, 13.6792 
  135.80, 13.9848 
  135.90, 14.2904 
  136.00, 14.5960 
  136.10, 14.9016 
  136.20, 15.2072 
  136.30, 15.5128 
  136.40, 15.8184 
  136.50, 16.1240 
  136.60, 16.4296 
  136.70, 16.7352 
  136.80, 17.0408 
  136.90, 17.3464 
  137.00, 17.6520 
  137.10, 17.6642 
  137.20, 17.6764 
  137.30, 17.6886 
  137.40, 17.7008 
  137.50, 17.7130 
  137.60, 17.7252 
  137.70, 17.7374 
  137.80, 17.7496 
  137.90, 17.7618 
  138.00, 17.7740 
  138.10, 17.4928 
  138.20, 17.2116 
  138.30, 16.9304 
  138.40, 16.6492 
  138.50, 16.3680 
  138.60, 16.0868 
  138.70, 15.8056 
  138.80, 15.5244 
  138.90, 15.2432 
  139.00, 14.9620 
  139.10, 14.6808 
  139.20, 14.3996 
  139.30, 14.1184 
  139.40, 13.8372 
  139.50, 13.5560 
  139.60, 13.2748 
  139.70, 12.9936 
  139.80, 12.7124 
  139.90, 12.4312 
  140.00, 12.1500 
  140.10, 12.6744 
  140.20, 13.1988 
  140.30, 13.7232 
  140.40, 14.2476 
  140.50, 14.7720 
  140.60, 15.2964 
  140.70, 15.8208 
  140.80, 16.3452 
  140.90, 16.8696 
  141.00, 17.3940 
  141.10, 17.9184 
  141.20, 18.4428 
  141.30, 18.9672 
  141.40, 19.4916 
  141.50, 20.0160 
  141.60, 20.5404 
  141.70, 21.0648 
  141.80, 21.5892 
  141.90, 22.1136 
  142.00, 22.6380 
  142.10, 23.0784 
  142.20, 23.5188 
  142.30, 23.9592 
  142.40, 24.3996 
  142.50, 24.8400 
  142.60, 25.2804 
  142.70, 25.7208 
  142.80, 26.1612 
  142.90, 26.6016 
  143.00, 27.0420 
  143.10, 27.3984 
  143.20, 27.7548 
  143.30, 28.1112 
  143.40, 28.4676 
  143.50, 28.8240 
  143.60, 29.1804 
  143.70, 29.5368 
  143.80, 29.8932 
  143.90, 30.2496 
  144.00, 30.6060 
  144.10, 30.9624 
  144.20, 31.3188 
  144.30, 31.6752 
  144.40, 32.0316 
  144.50, 32.3880 
  144.60, 32.7444 
  144.70, 33.1008 
  144.80, 33.4572 
  144.90, 33.8136 
  145.00, 34.1700 
  145.10, 34.2944 
  145.20, 34.4188 
  145.30, 34.5432 
  145.40, 34.6676 
  145.50, 34.7920 
  145.60, 34.9164 
  145.70, 35.0408 
  145.80, 35.1652 
  145.90, 35.2896 
  146.00, 35.4140 
  146.10, 35.5384 
  146.20, 35.6628 
  146.30, 35.7872 
  146.40, 35.9116 
  146.50, 36.0360 
  146.60, 36.1604 
  146.70, 36.2848 
  146.80, 36.4092 
  146.90, 36.5336 
  147.00, 36.6580 
  147.10, 36.6728 
  147.20, 36.6876 
  147.30, 36.7024 
  147.40, 36.7172 
  147.50, 36.7320 
  147.60, 36.7468 
  147.70, 36.7616 
  147.80, 36.7764 
  147.90, 36.7912 
  148.00, 36.8060 
  148.10, 36.7112 
  148.20, 36.6164 
  148.30, 36.5216 
  148.40, 36.4268 
  148.50, 36.3320 
  148.60, 36.2372 
  148.70, 36.1424 
  148.80, 36.0476 
  148.90, 35.9528 
  149.00, 35.8580 
  149.10, 35.7632 
  149.20, 35.6684 
  149.30, 35.5736 
  149.40, 35.4788 
  149.50, 35.3840 
  149.60, 35.2892 
  149.70, 35.1944 
  149.80, 35.0996 
  149.90, 35.0048 
  150.00, 34.9100 
  150.10, 34.8988 
  150.20, 34.8876 
  150.30, 34.8764 
  150.40, 34.8652 
  150.50, 34.8540 
  150.60, 34.8428 
  150.70, 34.8316 
  150.80, 34.8204 
  150.90, 34.8092 
  151.00, 34.7980 
  151.10, 34.7868 
  151.20, 34.7756 
  151.30, 34.7644 
  151.40, 34.7532 
  151.50, 34.7420 
  151.60, 34.7308 
  151.70, 34.7196 
  151.80, 34.7084 
  151.90, 34.6972 
  152.00, 34.6860 
  152.10, 34.5116 
  152.20, 34.3372 
  152.30, 34.1628 
  152.40, 33.9884 
  152.50, 33.8140 
  152.60, 33.6396 
  152.70, 33.4652 
  152.80, 33.2908 
  152.90, 33.1164 
  153.00, 32.9420 
  153.10, 32.6044 
  153.20, 32.2668 
  153.30, 31.9292 
  153.40, 31.5916 
  153.50, 31.2540 
  153.60, 30.9164 
  153.70, 30.5788 
  153.80, 30.2412 
  153.90, 29.9036 
  154.00, 29.5660 
  154.10, 29.2284 
  154.20, 28.8908 
  154.30, 28.5532 
  154.40, 28.2156 
  154.50, 27.8780 
  154.60, 27.5404 
  154.70, 27.2028 
  154.80, 26.8652 
  154.90, 26.5276 
  155.00, 26.1900 
  155.10, 26.1797 
  155.20, 26.1693 
  155.30, 26.1590 
  155.40, 26.1487 
  155.50, 26.1383 
  155.60, 26.1280 
  155.70, 26.1177 
  155.80, 26.1074 
  155.90, 26.0970 
  156.00, 26.0867 
  156.10, 26.0764 
  156.20, 26.0660 
  156.30, 26.0557 
  156.40, 26.0453 
  156.50, 26.0350 
  156.60, 26.0247 
  156.70, 26.0143 
  156.80, 26.0040 
  156.90, 25.9936 
  157.00, 25.9833 
  157.10, 25.9730 
  157.20, 25.9626 
  157.30, 25.9523 
  157.40, 25.9420 
  157.50, 25.9316 
  157.60, 25.9213 
  157.70, 25.9110 
  157.80, 25.9007 
  157.90, 25.8903 
  158.00, 25.8800 
  158.10, 25.8697 
  158.20, 25.8593 
  158.30, 25.8490 
  158.40, 25.8387 
  158.50, 25.8284 
  158.60, 25.8180 
  158.70, 25.8077 
  158.80, 25.7974 
  158.90, 25.7870 
  159.00, 25.7767 
  159.10, 25.7664 
  159.20, 25.7560 
  159.30, 25.7457 
  159.40, 25.7353 
  159.50, 25.7250 
  159.60, 25.7147 
  159.70, 25.7043 
  159.80, 25.6940 
  159.90, 25.6836 
  160.00, 25.6733 
  160.10, 25.6630 
  160.20, 25.6526 
  160.30, 25.6423 
  160.40, 25.6320 
  160.50, 25.6217 
  160.60, 25.6113 
  160.70, 25.6010 
  160.80, 25.5907 
  160.90, 25.5803 
  161.00, 25.5700 
  161.10, 25.3290 
  161.20, 25.0880 
  161.30, 24.8470 
  161.40, 24.6060 
  161.50, 24.3650 
  161.60, 24.1240 
  161.70, 23.8830 
  161.80, 23.6420 
  161.90, 23.4010 
  162.00, 23.1600 
  162.10, 22.9190 
  162.20, 22.6780 
  162.30, 22.4370 
  162.40, 22.1960 
  162.50, 21.9550 
  162.60, 21.7140 
  162.70, 21.4730 
  162.80, 21.2320 
  162.90, 20.9910 
  163.00, 20.7500 
  163.10, 20.5090 
  163.20, 20.2680 
  163.30, 20.0270 
  163.40, 19.7860 
  163.50, 19.5450 
  163.60, 19.3040 
  163.70, 19.0630 
  163.80, 18.8220 
  163.90, 18.5810 
  164.00, 18.3400 
  164.10, 18.0990 
  164.20, 17.8580 
  164.30, 17.6170 
  164.40, 17.3760 
  164.50, 17.1350 
  164.60, 16.8940 
  164.70, 16.6530 
  164.80, 16.4120 
  164.90, 16.1710 
  165.00, 15.9300 
  165.10, 15.8554 
  165.20, 15.7808 
  165.30, 15.7062 
  165.40, 15.6316 
  165.50, 15.5570 
  165.60, 15.4824 
  165.70, 15.4078 
  165.80, 15.3332 
  165.90, 15.2586 
  166.00, 15.1840 
  166.10, 15.1094 
  166.20, 15.0348 
  166.30, 14.9602 
  166.40, 14.8856 
  166.50, 14.8110 
  166.60, 14.7364 
  166.70, 14.6618 
  166.80, 14.5872 
  166.90, 14.5126 
  167.00, 14.4380 
  167.10, 14.3634 
  167.20, 14.2888 
  167.30, 14.2142 
  167.40, 14.1396 
  167.50, 14.0650 
  167.60, 13.9904 
  167.70, 13.9158 
  167.80, 13.8412 
  167.90, 13.7666 
  168.00, 13.6920 
  168.10, 13.6174 
  168.20, 13.5428 
  168.30, 13.4682 
  168.40, 13.3936 
  168.50, 13.3190 
  168.60, 13.2444 
  168.70, 13.1698 
  168.80, 13.0952 
  168.90, 13.0206 
  169.00, 12.9460 
  169.10, 12.8714 
  169.20, 12.7968 
  169.30, 12.7222 
  169.40, 12.6476 
  169.50, 12.5730 
  169.60, 12.4984 
  169.70, 12.4238 
  169.80, 12.3492 
  169.90, 12.2746 
  170.00, 12.2000 
  170.10, 12.1670 
  170.20, 12.1340 
  170.30, 12.1010 
  170.40, 12.0680 
  170.50, 12.0350 
  170.60, 12.0020 
  170.70, 11.9690 
  170.80, 11.9360 
  170.90, 11.9030 
  171.00, 11.8700 
  171.10, 11.8370 
  171.20, 11.8040 
  171.30, 11.7710 
  171.40, 11.7380 
  171.50, 11.7050 
  171.60, 11.6720 
  171.70, 11.6390 
  171.80, 11.6060 
  171.90, 11.5730 
  172.00, 11.5400 
  172.10, 11.5070 
  172.20, 11.4740 
  172.30, 11.4410 
  172.40, 11.4080 
  172.50, 11.3750 
  172.60, 11.3420 
  172.70, 11.3090 
  172.80, 11.2760 
  172.90, 11.2430 
  173.00, 11.2100 
  173.10, 11.1770 
  173.20, 11.1440 
  173.30, 11.1110 
  173.40, 11.0780 
  173.50, 11.0450 
  173.60, 11.0120 
  173.70, 10.9790 
  173.80, 10.9460 
  173.90, 10.9130 
  174.00, 10.8800 
  174.10, 10.8470 
  174.20, 10.8140 
  174.30, 10.7810 
  174.40, 10.7480 
  174.50, 10.7150 
  174.60, 10.6820 
  174.70, 10.6490 
  174.80, 10.6160 
  174.90, 10.5830 
  175.00, 10.5500 
  175.10, 10.3596 
  175.20, 10.1692 
  175.30,  9.9788 
  175.40,  9.7884 
  175.50,  9.5980 
  175.60,  9.4076 
  175.70,  9.2172 
  175.80,  9.0268 
  175.90,  8.8364 
  176.00,  8.6460 
  176.10,  8.4556 
  176.20,  8.2652 
  176.30,  8.0748 
  176.40,  7.8844 
  176.50,  7.6940 
  176.60,  7.5036 
  176.70,  7.3132 
  176.80,  7.1228 
  176.90,  6.9324 
  177.00,  6.7420 
  177.10,  6.5516 
  177.20,  6.3612 
  177.30,  6.1708 
  177.40,  5.9804 
  177.50,  5.7900 
  177.60,  5.5996 
  177.70,  5.4092 
  177.80,  5.2188 
  177.90,  5.0284 
  178.00,  4.8380 
  178.10,  4.6476 
  178.20,  4.4572 
  178.30,  4.2668 
  178.40,  4.0764 
  178.50,  3.8860 
  178.60,  3.6956 
  178.70,  3.5052 
  178.80,  3.3148 
  178.90,  3.1244 
  179.00,  2.9340 
  179.10,  2.7436 
  179.20,  2.5532 
  179.30,  2.3628 
  179.40,  2.1724 
  179.50,  1.9820 
  179.60,  1.7916 
  179.70,  1.6012 
  179.80,  1.4108 
  179.90,  1.2204 
  180.00,  1.0300 
  180.10,  0.9270 
  180.20,  0.8240 
  180.30,  0.7210 
  180.40,  0.6180 
  180.50,  0.5150 
  180.60,  0.4120 
  180.70,  0.3090 
  180.80,  0.2060 
  180.90,  0.1030 
  181.00,  0.0000 
1000,0