.,Charact.,Unit,FIREBall-2 2025,UVEX FUV,UVEX NUV,SCWI,FIREBall-1,ASPERA,JUNO UVS,GALEX FUV,GALEX NUV,LUMOS,ISTOS,CASTOR DMD,CETUS,KCWI blue,KCWI red,Blue MUSE,NIRSPEC,ELT Harmony,MUSE wide,MUSE narrow,NISP,SPHERE IRDIS,SPHEREx,tREXS,FIREBall-2 2018,SUMIRE PFS Blue,VLT MOONS,MOSAIC,TEST
Instrum. design,wavelength,nm,202,115,275,200,200,104,150,152.8,227,150,200,200,250,450,700,450,600,600,700,700,1000,1000,1000,2.18,200,500,800,600,200
,dimensions,.,2,2,2,3,3,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2.00
,FOV_size,amin2,648.00,44100.00,44100.00,4.00,16.00,60.00,3600.00,4608.00,4464.00,4.80,900.00,6.73,289.00,0.05,0.05,2.00,0.003,0.02,1.00,0.02,1983.19,0.03,284760.00,360000.00,648.00,6084.00,500.00,40.00,648.00
,pixel_scale,"""/pix",1.100,1.030,1.030,1.100,1.100,45.026,148.000,1.500,1.500,0.330,10.000,0.100,0.400,0.147,0.147,0.200,0.100,0.040,0.200,0.025,0.300,0.012,6.200,8.600,1.100,0.939,0.500,0.250,1.100
,Bandwidth,Å,160,1500,1500,160,160,50,1420,400,1050,1000,1200,1500,1700,2100,5200,2300,279000,5500,4650,4650,2920,7000,16700,24,160,2700,12000,2500,160
Spectro,Spectral_resolution,λ/dλ,1300,1600,3500,2000,5000,2000,75,200,90,8000,2500,1500,1000,18000,5600,4000,2700,3300,3000,3000,380,350,41,50,1300,2300,1000,4000,
,Slitwidth,"""",6,2,2,4,8,60.00,90.00,3600,3600,5.00,10.00,0.2,2.00,0.35,0.35,0.200,0.1,0.040,0.200,0.025,42,0.1,12600,2160000,6,1.1,1.200,3,
,Slitlength,"""",25,3600,3600,4,8,3600,432.00,3600,3600,3.00,240.00,20,360.00,20.40,20.40,84,3.0,0.06,60.000,7.500,42,11,NA,2160000,25,1.1,1.200,3,
,dispersion,Å/pix,0.21,0.38,0.38,0.21,0.18,0.53,1.00,2.50,6.06,0.04,0.40,1.40,0.42,0.10,0.20,0.40,14.29,0.69,0.40,0.40,13.00,11.00,4.18,0.02,0.21,0.70,0.35,0.63,
Observation,Altitude,km,35,1000,1000,35,35,450,1000,1000,1000,1000,1000,1000,1000,4,4,3,1000,3,3,3,1000,3,1000,250,35,4,3,3,35
,Collecting_area,m2,0.707,0.442,0.442,0.196,0.79,0.00254,0.00100,0.196,0.196,176.000,0.196,0.780,1.77,78.500,78.500,52.810,34.21,1195,52.810,52.810,1.13,52.81,0.031,0.035,0.785,52.810,52.810,1195,0.785
,Atmosphere,%/100,0.50,1.00,1.00,0.50,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.90,0.90,0.90,1.00,0.92,0.90,0.90,1.00,0.92,1.00,1.00,0.50,0.90,0.90,0.92,0.50
,Sky,"erg/cm2/s/""2/Å",2.00E-18,2.00E-17,2.00E-17,2.00E-18,2.00E-18,1.00E-18,1.00E-18,2.00E-18,2.00E-18,2.00E-17,1.00E-18,1.00E-18,1.00E-18,1.76E-17,1.13E-17,1.13E-17,3.00E-17,5.00E-18,1.13E-17,1.13E-17,1.00E-18,1.50E-17,1.00E-18,2.00E-18,4.60E-16,1.70E-17,1.13E-17,5.00E-18,4.60E-16
,Signal,"erg/cm2/s/""2/Å",1.0E-16,6.2E-17,6.2E-17,6.2E-17,1.1E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17,6.2E-17
,PSF_source,""" (σ)",5,5,5,16,5,60,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50
,Redshift,""" ",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
,Line_width,Å,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
,acquisition_time,hour,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.1,2,2,2,2,2
,exposure_time,sec,50,300,300,120,2000,300,30,1000,1000,1000,1000,600,1000,1600,1600,500,1000,300,500,500,565,20,96,10,50,600,30,900,50
Instr perf,PSF_RMS_mask,""" σ",2.50,0.96,0.96,1.00,1.00,0.10,540.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.30,0.00,0.10,2.50,0.00,0.00,0.10,0.50
,PSF_RMS_det,""" (σ)",3.00,0.96,0.96,1.00,4.26,51.00,540.00,1.83,2.26,0.02,4.40,0.30,0.40,0.59,0.59,0.02,0.10,0.05,0.02,0.02,0.23,0.30,6.20,120.00,3.00,1.60,1.00,0.10,3.00
,Throughput,%/100,0.11,0.10,0.10,0.60,0.11,0.10,1.00,0.16,0.16,0.80,0.15,0.70,0.50,0.30,0.30,0.35,0.20,0.35,0.25,0.20,0.50,0.25,0.80,0.07,0.11,0.53,0.30,0.17,0.11
,pixel_size,μm,13,10,10,13,37.00,37.50,50.00,37.00,37.00,6.5,20,10,12.00,15,15,15,18.00,15,15,15,16,18,6.2,16,13,15,15,6.5,13
,readout_time,sec,5.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.0,0.0,16.0,16.0,2.5,10.0,10.0,2.5,2.5,10.0,0.8,4.0,0.0,0.5,106.0,5.0,100.0,0.5
,RN,e-/pix,32,2,2,1,0,0,0,0,0,3,0.000001,2,0,3,3,2.6,16,18,2.6,2.6,28,4,4,4,107,2.5,5.00,2.3,107
,Dark_current,e-/pix/hour,1,3.6,3.6,0.5,0.608,0.030,0.090,0.049,0.049,18,0.0005,3.6,0.005,1,3,3,7,36,3,3,14,210,180,0.5,1,1.4,30,18,1
,QE,%/100,0.70,0.9,0.9,0.70,0.05,0.30,0.30,0.12,0.08,0.13,0.70,0.9,0.50,0.85,0.85,0.70,0.70,0.8,0.70,0.70,0.75,0.95,0.8,0.70,0.50,0.9,0.95,0.8,0.50
,cosmic_ray_loss_per_sec,./sec,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0050,0.0000,0.0000,0.0000,0.0050
FB specific,smearing,pix,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
,CIC_charge,e-/exp,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.040,0.000,0.015
,EM_gain,e-/e-,1500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1400,1,1,1,1400
,extra_background,e-/pix/hour,0.015,0.00,0.00,0.5,0.10,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0,3,0.10,0.00,0.10,3
Imag.,Full_well,kADU,52,60,60,52,60.00,60,60,60,60,60,60,60.00,60,60,60,60,60,60,60,60,60,60,60,60,56,60,100.00,60,56
,conversion_gain,ADU/e-,1,1,1,1,1.00,1,1,1,1,1,1,1.00,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.47,1,0.5
,Throughput_FWHM,Å,400,1500,1500,400,160,50,1420,400,1050,1000,1200,1500,1700,2100,5200,2300,279000,5500,4650,4650,2920,7000,16700,24,300,2700,4000,2500,300