G/RN,fractionflux
0,0
1.0736971021541175,0.019925731747640674
1.1948412100474828,0.025058988516384773
1.32968149254042,0.03207495246851666
1.4797882130337305,0.042119619280880816
1.646898357671072,0.055356702621597975
1.8329511500198665,0.07211362982690983
2.030191380832817,0.09122092652325575
2.2269429857126646,0.11127991920170666
2.5018436822613204,0.1378331978173768
2.799864831657128,0.17234559531738258
3.0121737425230317,0.19405217735360514
3.2248862834067675,0.21590454893211541
3.4358499715812245,0.23664318674311635
3.642846899894365,0.2565896712061302
3.8623273948422123,0.27683629739403204
4.0950383061567255,0.2972329944443778
4.341799140866577,0.31822997494449934
4.603444651912892,0.3395270971695088
4.8808574454219835,0.36082421939451836
5.174970556774654,0.3818211998946398
5.486824645839375,0.4031183221196494
5.817471686825157,0.42441544434465883
6.168023760339012,0.4454124248447804
6.539677922580042,0.46610926362001404
6.933714622151033,0.4866560315328038
7.351432458874665,0.5064524451333737
7.794328379905892,0.5263989295963878
8.263866061764576,0.5458952014720699
8.761616618461431,0.5646411190355323
9.334723644457787,0.5848437894806618
9.99376363387053,0.605281207213272
10.699317265833832,0.6255899927780733
11.454601292402458,0.645255617503829
12.319874821716889,0.6650865995944318
13.192603552733877,0.6832190718188662
14.261703438962822,0.7025609594180939
15.492610620752641,0.7225395698292059
16.911620035185518,0.7421294188255018
18.55051577827886,0.7619082792273908
20.44720337527498,0.7812458534126081
22.64733702331859,0.7997555952203136
25.20623050705968,0.8179040886046509
28.053743470242914,0.8344154453077817
31.222513161241267,0.8496989495000074
34.74864186027158,0.8635090306791469
38.67254157075196,0.8762549730155021
43.0389545091245,0.8877730628409524
47.89780520126273,0.8982270138236184
53.30471092557244,0.9078623964656808
59.32138172812818,0.9165973539330796
66.01645784953557,0.9243500293917545
73.4666832579189,0.931529707012007
81.75703248893593,0.9379726731257164
90.98224914010058,0.9437607845669432
101.24795428965669,0.9491396118378683
112.67104344360195,0.9537817276022504
125.38246595630596,0.9580964160303912
139.52696925341257,0.9617562497860492
155.2671260734893,0.9654160835417073
172.78216342124222,0.9686666331270637
188.570988082791,0.9705883991145907
1000,1