col1,col2
180.019,0.0
180.039,0.0
180.059,0.0
180.079,0.0
180.099,0.0
180.119,0.0
180.139,0.0
180.159,0.0
180.179,0.0
180.199,0.0
180.219,0.0
180.239,0.0
180.259,0.0
180.279,0.0
180.299,0.0
180.319,0.0
180.339,0.0
180.359,0.0
180.379,0.0
180.399,0.0
180.419,0.0
180.439,0.0
180.459,0.0
180.479,0.0
180.499,0.0
180.519,0.0
180.539,0.0
180.559,0.0
180.579,0.0
180.599,0.0
180.619,0.0
180.639,0.0
180.659,0.0
180.679,0.0
180.699,0.0
180.719,0.0
180.739,0.0
180.759,0.0
180.779,0.0
180.799,0.0
180.819,0.0
180.839,0.0
180.859,0.0
180.879,0.0
180.899,0.0
180.919,0.0
180.939,0.0
180.959,0.0
180.979,0.0
180.999,0.0
181.019,0.0
181.039,0.0
181.059,0.0
181.079,0.0
181.099,0.0
181.119,0.0
181.139,0.0
181.159,0.0
181.179,0.0
181.199,0.0
181.219,0.0
181.239,0.0
181.259,0.0
181.279,0.0
181.299,0.0
181.319,0.0
181.339,0.0
181.359,0.0
181.379,0.0
181.399,0.0
181.419,0.0
181.439,0.0
181.459,0.0
181.479,0.0
181.499,0.0
181.519,0.0
181.539,0.0
181.559,0.0
181.579,0.0
181.599,0.0
181.619,0.0
181.639,0.0
181.659,0.0
181.679,0.0
181.699,0.0
181.719,0.0
181.739,0.0
181.759,0.0
181.779,0.0
181.799,0.0
181.819,0.0
181.839,0.0
181.859,0.0
181.879,0.0
181.899,0.0
181.919,0.0
181.939,0.0
181.959,0.0
181.979,0.0
181.999,0.0
182.019,0.0
182.039,0.0
182.059,0.0
182.079,0.0
182.099,0.0
182.119,0.0
182.139,0.0
182.159,0.0
182.179,0.0
182.199,0.0
182.219,0.0
182.239,0.0
182.259,0.0
182.279,0.0
182.299,0.0
182.319,0.0
182.339,0.0
182.359,0.0
182.379,0.0
182.399,0.0
182.419,0.0
182.439,0.0
182.459,0.0
182.479,0.0
182.499,0.0
182.519,0.0
182.539,0.0
182.559,0.0
182.579,0.0
182.599,0.0
182.619,0.0
182.639,0.0
182.659,0.0
182.679,0.0
182.699,0.0
182.719,0.0
182.739,0.0
182.759,0.0
182.779,0.0
182.799,0.0
182.819,0.0
182.839,0.0
182.859,0.0
182.879,0.00011
182.899,1e-05
182.919,0.0
182.939,0.0
182.959,0.0
182.979,0.0
182.999,0.0
183.019,0.0
183.039,0.0
183.059,0.0
183.079,0.0
183.099,0.0
183.119,0.0
183.139,0.0
183.159,0.0
183.179,0.0
183.199,0.0
183.219,0.0
183.239,0.0
183.259,0.0
183.279,0.0
183.299,0.0
183.319,0.0
183.339,0.0
183.359,0.0
183.379,0.0
183.399,0.0
183.419,0.0
183.439,0.0
183.459,0.0
183.479,0.0
183.499,0.0
183.519,0.0
183.539,0.0
183.559,0.0
183.579,0.0
183.599,0.0
183.619,0.0
183.639,0.0
183.659,0.0
183.679,0.0
183.699,0.0
183.719,0.0
183.739,0.0
183.759,0.0
183.779,0.0
183.799,0.0
183.819,0.0
183.839,0.0
183.859,2e-05
183.879,7e-05
183.899,0.0
183.919,0.0
183.939,0.0
183.959,0.0
183.979,0.0
183.999,0.0
184.019,0.0
184.039,0.00044
184.059,0.0
184.079,0.00161
184.099,0.00068
184.119,0.00064
184.139,0.0
184.159,0.0
184.179,0.0
184.199,0.0
184.219,0.0
184.239,0.0
184.259,2e-05
184.279,0.00742
184.299,0.01018
184.319,0.00611
184.339,0.00157
184.359,1e-05
184.379,0.0
184.399,0.0
184.419,0.0
184.439,0.0
184.459,0.0
184.479,0.0
184.499,1e-05
184.519,0.0
184.539,0.0
184.559,0.0
184.579,0.0
184.599,0.0
184.619,0.0
184.639,0.0
184.659,0.0
184.679,0.0
184.699,0.0
184.719,0.0
184.739,0.0
184.759,0.0
184.779,0.0
184.799,0.0
184.819,0.0
184.839,0.0
184.859,0.0
184.879,0.0
184.899,0.0
184.919,0.0
184.939,0.0
184.959,0.0
184.979,0.0
184.999,0.0
185.019,0.0
185.039,0.0
185.059,0.0
185.079,0.0
185.099,0.0
185.119,0.0
185.139,0.0
185.159,0.0
185.179,0.0
185.199,0.0
185.219,0.0
185.239,0.0
185.259,0.0
185.279,0.0
185.299,0.0
185.319,0.0
185.339,0.0
185.359,0.0
185.379,0.0
185.399,0.0
185.419,0.0
185.439,7e-05
185.459,1e-05
185.479,0.0
185.499,0.0
185.519,0.0
185.539,0.0
185.559,0.0
185.579,0.0
185.599,0.0
185.619,3e-05
185.639,0.0
185.659,7e-05
185.679,2e-05
185.699,0.0
185.719,0.0
185.739,0.0
185.759,0.0
185.779,0.0
185.799,0.0
185.819,0.00052
185.839,0.0055
185.859,7e-05
185.879,0.0
185.899,0.00037
185.919,0.0
185.939,0.0
185.959,0.0
185.979,0.0
185.999,0.0
186.019,9e-05
186.039,0.00122
186.059,0.00091
186.079,0.03367
186.099,0.03102
186.119,0.0135
186.139,0.00721
186.159,0.0
186.179,1e-05
186.199,0.0
186.219,0.0
186.239,0.0
186.259,0.00019
186.279,0.00044
186.299,6e-05
186.319,0.0
186.339,0.0
186.359,0.0
186.379,0.0
186.399,0.0
186.419,0.0
186.439,0.0
186.459,0.0
186.479,0.0
186.499,0.0
186.519,0.0
186.539,0.0
186.559,0.0
186.579,0.0
186.599,0.0
186.619,0.0
186.639,0.0
186.659,0.0
186.679,0.0
186.699,0.0
186.719,0.0
186.739,0.0
186.759,0.0
186.779,0.0
186.799,0.0
186.819,0.0
186.839,0.0
186.859,0.0
186.879,0.0
186.899,0.0
186.919,0.0
186.939,0.0
186.959,0.0
186.979,0.0
186.999,0.0
187.019,0.0
187.039,0.0
187.059,0.0
187.079,0.0
187.099,0.0
187.119,0.0
187.139,0.0
187.159,0.00087
187.179,0.00029
187.199,0.00012
187.219,0.0
187.239,0.0
187.259,0.0
187.279,0.0
187.299,0.00133
187.319,0.00495
187.339,0.00065
187.359,0.00055
187.379,0.0
187.399,0.00036
187.419,0.0
187.439,0.0
187.459,0.0
187.479,3e-05
187.499,0.0
187.519,0.01142
187.539,0.00014
187.559,0.03247
187.579,0.06072
187.599,0.04423
187.619,0.0342
187.639,0.00158
187.659,0.0
187.679,0.0
187.699,0.00015
187.719,0.00822
187.739,0.06634
187.759,0.04121
187.779,0.0747
187.799,0.10259
187.819,0.04892
187.839,0.10737
187.859,0.00531
187.879,0.01684
187.899,0.0
187.919,0.0
187.939,3e-05
187.959,0.0428
187.979,0.08855
187.999,0.09256
188.019,0.10901
188.039,0.11277
188.059,0.0953
188.079,0.00023
188.099,0.05743
188.119,0.03546
188.139,3e-05
188.159,0.00044
188.179,0.0
188.199,0.0
188.219,0.0
188.239,0.0
188.259,0.0
188.279,0.0
188.299,0.0
188.319,0.0
188.339,0.0
188.359,0.0
188.379,0.0
188.399,0.0
188.419,0.0
188.439,0.0
188.459,0.0
188.479,0.0
188.499,0.0
188.519,0.0
188.539,0.0
188.559,0.0
188.579,0.0
188.599,0.0
188.619,0.0
188.639,0.0
188.659,0.0
188.679,2e-05
188.699,0.00038
188.719,0.00011
188.739,0.0
188.759,0.0
188.779,0.0
188.799,0.0
188.819,0.00026
188.839,0.00038
188.859,0.0
188.879,0.0
188.899,2e-05
188.919,0.0
188.939,0.0
188.959,0.0
188.979,0.00223
188.999,0.00022
189.019,0.0067
189.039,0.01761
189.059,0.01539
189.079,0.00071
189.099,0.0
189.119,0.0
189.139,0.0
189.159,0.009
189.179,0.0042
189.199,3e-05
189.219,0.1171
189.239,0.12674
189.259,0.03838
189.279,0.00962
189.299,0.0
189.319,0.0
189.339,0.00075
189.359,0.00052
189.379,0.10266
189.399,0.00085
189.419,0.23016
189.439,0.16687
189.459,0.09474
189.479,0.16416
189.499,0.03
189.519,2e-05
189.539,0.0
189.559,0.00452
189.579,1e-05
189.599,0.19171
189.619,0.00439
189.639,0.30895
189.659,0.43627
189.679,0.44972
189.699,0.42335
189.719,0.35541
189.739,0.16208
189.759,0.00844
189.779,0.0
189.799,0.01569
189.819,0.02576
189.839,0.12123
189.859,0.04637
189.879,0.25549
189.899,0.52419
189.919,0.57465
189.939,0.55297
189.959,0.51287
189.979,0.41461
189.999,0.33034
190.019,0.11965
190.039,0.0
190.059,0.01121
190.079,0.01941
190.099,0.05855
190.119,0.00016
190.139,0.02714
190.159,0.0
190.179,0.01028
190.199,0.01429
190.219,0.0
190.239,0.0
190.259,0.0
190.279,0.0
190.299,0.0
190.319,0.0
190.339,0.0
190.359,0.0
190.379,0.0
190.399,0.0
190.419,0.0
190.439,0.0
190.459,0.0
190.479,1e-05
190.499,0.0
190.519,0.0
190.539,0.0
190.559,0.0
190.579,0.00021
190.599,0.00015
190.619,0.0
190.639,0.0
190.659,0.0
190.679,0.0
190.699,0.00217
190.719,0.0076
190.739,0.00351
190.759,0.0
190.779,0.0
190.799,0.0
190.819,0.00112
190.839,1e-05
190.859,0.00402
190.879,0.04893
190.899,0.02618
190.919,7e-05
190.939,0.0
190.959,0.0
190.979,0.00439
190.999,0.03924
191.019,0.01781
191.039,0.02318
191.059,0.08561
191.079,0.05841
191.099,0.00029
191.119,0.0
191.139,2e-05
191.159,0.05305
191.179,0.17183
191.199,0.24573
191.219,0.19519
191.239,0.00729
191.259,0.01572
191.279,0.14865
191.299,0.00425
191.319,0.0
191.339,0.00368
191.359,0.12803
191.379,0.28548
191.399,0.35617
191.419,0.38183
191.439,0.44205
191.459,0.30629
191.479,0.23847
191.499,0.09875
191.519,0.04059
191.539,0.0
191.559,0.02003
191.579,0.25598
191.599,0.38454
191.619,0.43868
191.639,0.52309
191.659,0.54231
191.679,0.52057
191.699,0.39775
191.719,0.30979
191.739,0.34509
191.759,0.11629
191.779,0.0
191.799,0.0372
191.819,0.34491
191.839,0.48594
191.859,0.51508
191.879,0.53263
191.899,0.5058
191.919,0.34314
191.939,0.01883
191.959,0.06502
191.979,0.01009
191.999,0.0592
192.019,0.15785
192.039,0.0
192.059,0.00653
192.079,0.20993
192.099,0.22933
192.119,0.00176
192.139,0.067
192.159,0.31629
192.179,0.34488
192.199,0.28641
192.219,0.00872
192.239,0.03281
192.259,0.25532
192.279,0.27549
192.299,0.21641
192.319,0.06284
192.339,1e-05
192.359,0.00021
192.379,0.01615
192.399,3e-05
192.419,0.0
192.439,0.0
192.459,0.0
192.479,0.0
192.499,0.0
192.519,0.0
192.539,0.0
192.559,1e-05
192.579,0.0
192.599,0.0
192.619,0.0
192.639,3e-05
192.659,0.0
192.679,0.0
192.699,0.0
192.719,0.0
192.739,0.00181
192.759,0.00758
192.779,0.00025
192.799,0.0
192.819,0.0
192.839,4e-05
192.859,0.00334
192.879,0.06428
192.899,0.04277
192.919,0.00047
192.939,0.0
192.959,0.0
192.979,0.00199
192.999,0.0892
193.019,0.11241
193.039,0.13387
193.059,0.00745
193.079,0.00151
193.099,0.0
193.119,0.0
193.139,0.01781
193.159,0.14966
193.179,0.24032
193.199,0.27492
193.219,0.25741
193.239,0.15356
193.259,0.00482
193.279,0.0
193.299,0.0
193.319,0.04227
193.339,0.23577
193.359,0.34221
193.379,0.42412
193.399,0.437
193.419,0.38045
193.439,0.25908
193.459,0.02227
193.479,3e-05
193.499,1e-05
193.519,0.15093
193.539,0.13967
193.559,0.41293
193.579,0.53908
193.599,0.56471
193.619,0.5463
193.639,0.51061
193.659,0.39803
193.679,0.06626
193.699,0.00286
193.719,0.00087
193.739,0.27199
193.759,0.48133
193.779,0.58293
193.799,0.60002
193.819,0.36414
193.839,0.60229
193.859,0.62398
193.879,0.57895
193.899,0.45601
193.919,0.02149
193.939,0.00297
193.959,0.00159
193.979,0.05347
193.999,0.40462
194.019,0.1579
194.039,0.12343
194.059,0.49341
194.079,0.51343
194.099,0.14981
194.119,0.09984
194.139,0.51008
194.159,0.47537
194.179,0.33967
194.199,0.05364
194.219,0.00917
194.239,0.36705
194.259,0.52233
194.279,0.60698
194.299,0.58884
194.319,0.31472
194.339,0.05163
194.359,0.56761
194.379,0.64678
194.399,0.68626
194.419,0.65704
194.439,0.53229
194.459,0.37267
194.479,0.00096
194.499,0.17345
194.519,0.45852
194.539,0.61822
194.559,0.65969
194.579,0.64184
194.599,0.62719
194.619,0.54137
194.639,0.01017
194.659,0.44051
194.679,0.48707
194.699,0.36805
194.719,0.0021
194.739,0.0
194.759,0.00593
194.779,0.0
194.799,0.02878
194.819,0.0
194.839,0.0
194.859,0.10068
194.879,0.08356
194.899,0.0
194.919,0.0
194.939,0.15507
194.959,0.23511
194.979,0.05781
194.999,0.0
195.019,3e-05
195.039,0.07147
195.059,0.31548
195.079,0.2805
195.099,0.02225
195.119,0.00013
195.139,0.00406
195.159,0.27839
195.179,0.4247
195.199,0.44863
195.219,0.34944
195.239,0.00306
195.259,0.00263
195.279,0.00937
195.299,0.36186
195.319,0.50222
195.339,0.55543
195.359,0.53846
195.379,0.40371
195.399,8e-05
195.419,0.00966
195.439,0.07002
195.459,0.43393
195.479,0.53467
195.499,0.56857
195.519,0.31617
195.539,0.57166
195.559,0.43333
195.579,0.0001
195.599,0.04685
195.619,0.14569
195.639,0.54834
195.659,0.62828
195.679,0.66063
195.699,0.67814
195.719,0.68551
195.739,0.64764
195.759,0.50791
195.779,0.00381
195.799,0.17422
195.819,0.09449
195.839,0.55478
195.859,0.63532
195.879,0.66353
195.899,0.69864
195.919,0.70575
195.939,0.6755
195.959,0.67915
195.979,0.59626
195.999,0.04067
196.019,0.31987
196.039,0.10881
196.059,0.20363
196.079,0.33764
196.099,0.1376
196.119,0.39705
196.139,0.55612
196.159,0.03955
196.179,0.43798
196.199,0.6005
196.219,0.52382
196.239,0.00367
196.259,0.32786
196.279,0.05296
196.299,0.60747
196.319,0.57452
196.339,0.01718
196.359,0.46921
196.379,0.65659
196.399,0.65843
196.419,0.66202
196.439,0.64609
196.459,0.05991
196.479,0.44359
196.499,0.37767
196.519,0.64536
196.539,0.19103
196.559,0.67242
196.579,0.66077
196.599,0.20911
196.619,0.33709
196.639,0.68607
196.659,0.73005
196.679,0.74898
196.699,0.74042
196.719,0.74154
196.739,0.71985
196.759,0.46016
196.779,0.13758
196.799,0.67092
196.819,0.50312
196.839,0.70726
196.859,0.7421
196.879,0.75011
196.899,0.76108
196.919,0.73991
196.939,0.67578
196.959,0.4337
196.979,0.68971
196.999,0.74796
197.019,0.76635
197.039,0.75607
197.059,0.75386
197.079,0.70692
197.099,0.73885
197.119,0.68704
197.139,0.65595
197.159,0.4423
197.179,0.34813
197.199,0.00387
197.219,0.48392
197.239,0.00241
197.259,0.53788
197.279,0.45503
197.299,0.06964
197.319,0.56994
197.339,0.63421
197.359,0.04836
197.379,8e-05
197.399,0.45123
197.419,0.64764
197.439,0.62004
197.459,0.0
197.479,0.0
197.499,0.62089
197.519,0.68374
197.539,0.67528
197.559,0.61104
197.579,0.22727
197.599,0.0
197.619,0.63958
197.639,0.61852
197.659,0.6394
197.679,0.70463
197.699,0.54579
197.719,0.55746
197.739,0.0
197.759,0.66164
197.779,0.70622
197.799,0.71583
197.819,0.72337
197.839,0.73515
197.859,0.36172
197.879,0.63633
197.899,2e-05
197.919,0.66441
197.939,0.70587
197.959,0.72252
197.979,0.74666
197.999,0.74012
198.019,0.72568
198.039,0.09654
198.059,0.64796
198.079,0.00402
198.099,0.66384
198.119,0.67381
198.139,0.71728
198.159,0.70849
198.179,0.67768
198.199,0.68418
198.219,0.6692
198.239,0.14942
198.259,0.67302
198.279,0.17222
198.299,0.66026
198.319,0.68778
198.339,0.62112
198.359,0.44015
198.379,0.4672
198.399,0.391
198.419,0.46295
198.439,0.58018
198.459,0.1099
198.479,0.44519
198.499,0.43215
198.519,0.58299
198.539,0.27695
198.559,0.44381
198.579,0.62288
198.599,0.66729
198.619,0.63107
198.639,0.3404
198.659,0.43291
198.679,0.64923
198.699,0.4141
198.719,0.67566
198.739,0.61393
198.759,0.38448
198.779,0.4081
198.799,0.6569
198.819,0.71095
198.839,0.70024
198.859,0.69693
198.879,0.66126
198.899,0.46698
198.919,0.4193
198.939,0.68175
198.959,0.57624
198.979,0.73159
198.999,0.7306
199.019,0.68169
199.039,0.71894
199.059,0.56621
199.079,0.53331
199.099,0.67954
199.119,0.73636
199.139,0.73831
199.159,0.73641
199.179,0.74185
199.199,0.73874
199.219,0.73624
199.239,0.59093
199.259,0.64363
199.279,0.66359
199.299,0.54742
199.319,0.7307
199.339,0.73814
199.359,0.73201
199.379,0.7412
199.399,0.74053
199.419,0.72517
199.439,0.71146
199.459,0.67352
199.479,0.60572
199.499,0.72448
199.519,0.73169
199.539,0.73889
199.559,0.74031
199.579,0.74208
199.599,0.71881
199.619,0.72864
199.639,0.73411
199.659,0.72868
199.679,0.6845
199.699,0.68579
199.719,0.71093
199.739,0.73598
199.759,0.73325
199.779,0.73017
199.799,0.64879
199.819,0.29046
199.839,0.64899
199.859,0.30802
199.879,0.64714
199.899,0.63774
199.919,0.49499
199.939,0.64011
199.959,0.66764
199.979,0.29254
199.999,0.53404
200.019,0.67945
200.039,0.72041
200.059,0.66982
200.079,0.10886
200.099,0.5701
200.119,0.68197
200.139,0.72497
200.159,0.69209
200.179,0.70475
200.199,0.56196
200.219,0.46919
200.239,0.68878
200.259,0.73982
200.279,0.71867
200.299,0.71735
200.319,0.67005
200.339,0.70765
200.359,0.52114
200.379,0.69695
200.399,0.74809
200.419,0.7341
200.439,0.70222
200.459,0.74397
200.479,0.64104
200.499,0.699
200.519,0.67414
200.539,0.69128
200.559,0.73631
200.579,0.73089
200.599,0.72205
200.619,0.72514
200.639,0.72908
200.659,0.5055
200.679,0.71324
200.699,0.70382
200.719,0.69381
200.739,0.7418
200.759,0.73889
200.779,0.71459
200.799,0.68675
200.819,0.6162
200.839,0.66551
200.859,0.45272
200.879,0.66963
200.899,0.72503
200.919,0.40303
200.939,0.66805
200.959,0.72879
200.979,0.7286
200.999,0.54376
201.019,0.64946
201.039,0.71208
201.059,0.72678
201.079,0.60859
201.099,0.62169
